Accession,Country,Date,Host
HVLV2-Tb15-FL-2024|USA|2024,USA,2024,Tadarida brasiliensis
OM817543.1|USA|2020,USA,2020,Culex tarsalis
MW434979.1|USA|2017-11-29,USA,11/29/17,Culex erythrothorax
MW434980.1|USA|2017-09-21,USA,9/21/17,Culex erythrothorax
MW434981.1|USA|2017-10-07,USA,10/7/17,Culex erythrothorax
MW434995.1|USA|2017-10-06,USA,10/6/17,Culex erythrothorax
MW434993.1|USA|2017-10-06,USA,10/6/17,Culex erythrothorax
MW435008.1|USA|2017-10-06,USA,10/6/17,Culex erythrothorax
MW434988.1|USA|2017-09-11,USA,9/11/17,Culex erythrothorax
MW434991.1|USA|2017-10-17,USA,10/17/17,Culex erythrothorax
MW434989.1|USA|2017-10-04,USA,10/4/17,Culex erythrothorax
MW434994.1|USA|2017-08-18,USA,8/18/17,Culex erythrothorax
MW435000.1|USA|2017-09-19,USA,9/19/17,Culex erythrothorax
MW435006.1|USA|2017-11-21,USA,11/21/17,Culex erythrothorax
MW434996.1|USA|2017-10-03,USA,10/3/17,Culex erythrothorax
MW434982.1|USA|2017-09-27,USA,9/27/17,Culex erythrothorax
MW434990.1|USA|2017-10-06,USA,10/6/17,Culex erythrothorax
MW434984.1|USA|2017-09-21,USA,9/21/17,Culex erythrothorax
MW434983.1|USA|2017-09-21,USA,9/21/17,Culex erythrothorax
MW434997.1|USA|2017-11-29,USA,11/29/17,Culex erythrothorax
MW434999.1|USA|2017-11-15,USA,11/15/17,Culex erythrothorax
MW435002.1|USA|2017-11-29,USA,11/29/17,Culex erythrothorax
MW435004.1|USA|2017-11-15,USA,11/15/17,Culex erythrothorax
MW435003.1|USA|2017-11-29,USA,11/29/17,Culex erythrothorax
MW435005.1|USA|2017-11-29,USA,11/29/17,Culex erythrothorax
MW435001.1|USA|2017-11-29,USA,11/29/17,Culex erythrothorax
MW435009.1|USA|2017-08-03,USA,8/3/17,Culex erythrothorax
MW434986.1|USA|2017-08-03,USA,8/3/17,Culex erythrothorax
MW434987.1|USA|2017-10-06,USA,10/6/17,Culex erythrothorax
MW435011.1|USA|2017-09-21,USA,9/21/17,Culex erythrothorax
MW435010.1|USA|2017-09-19,USA,9/19/17,Culex erythrothorax
MW434985.1|USA|2017-11-15,USA,11/15/17,Culex tarsalis
MW434992.1|USA|2017-09-11,USA,9/11/17,Culex tarsalis
MW434998.1|USA|2017-09-21,USA,9/21/17,Culex tarsalis
MW435007.1|USA|2017-11-15,USA,11/15/17,Culex tarsalis
MN661131.1|Colombia|2016-07,Colombia,2016-07,Culex sp.
NC_033158.1|China|2013,China,2013,Culicidae sp.
KX883772.1|China|2013,China,2013,Culicidae sp.
NC_033165.1|China|2013,China,2013,Culicidae sp.